NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
397,1   397U 62047A   25108.20859678  .00002678  00000-0  26785-3 0  9993,2   397  58.3023 103.7209 0004181 359.3228   0.7813 14.94364692370096
406,1   406U 61015EF  25108.51293692  .00000767  00000-0  91897-3 0  9993,2   406  66.7769 274.4213 0124634 319.1296 108.2065 13.69099576163497
407,1   407U 61015EG  25108.84995937  .00134992  00000-0  82708-2 0  9999,2   407  66.3009 252.3426 0023929 226.1920 287.0319 15.09156107269426
410,1   410U 61015EK  25108.83100384  .00000062  00000-0  13907-3 0  9992,2   410  66.6943 334.6638 0021484 283.2756 164.7577 13.76518295202150
417,1   417U 61015ES  25108.51360560  .00000895  00000-0  44928-3 0  9999,2   417  66.7453 222.3848 0064933  43.6320 316.9881 14.20054582277662
424,1   424U 62049A   25108.51795099  .00000157  00000-0  17046-3 0  9996,2   424  80.4658 316.5982 0022293 252.9813 106.8890 13.69501511123173
426,1   426U 62049B   25108.09065321  .00000075  00000-0  77204-4 0  9991,2   426  80.4708 327.9795 0017104 244.0230 229.3125 13.68706931122576
461,1   461U 61015EX  25108.66478338  .00022829  00000-0  23469-2 0  9994,2   461  67.4989 207.6101 0027542   7.9742 352.1825 14.90036915322722
469,1   469U 61015FF  25108.48047971  .00002052  00000-0  75108-3 0  9991,2   469  66.8337 188.8450 0054514 160.9463 199.3695 14.34036164292531
475,1   475U 61015FM  25108.84889394  .00005896  00000-0  24736-2 0  9990,2   475  66.2236  55.6941 0145627   1.8423 358.3171 14.21001237227848
478,1   478U 61015FQ  25108.75749908  .00015576  00000-0  18830-2 0  9993,2   478  66.0647 338.7346 0038199 232.6954 127.0683 14.83335606321489
480,1   480U 61015FS  25108.38412250  .00002646  00000-0  83497-3 0  9998,2   480  66.2361 134.4346 0073191  45.8660 314.8427 14.40349909294000
506,1   506U 62070A   25108.48707141  .00000148  00000-0  18820-3 0  9999,2   506  52.0032 235.7475 0275915 237.2106 120.1962 13.85672108150310
510,1   510U 62049C   25108.79122015  .00000125  00000-0  13120-3 0  9998,2   510  80.5176  23.7943 0016398 106.8919 310.1565 13.70003458124980
511,1   511U 62049D   25108.88729836  .00000120  00000-0  12968-3 0  9997,2   511  80.4262 252.6960 0031149 349.5815 174.5722 13.68500781122017
511,1 00511U 62049D   25108.88729836  .00000120  00000-0  12968-3 0  9997,2 00511  80.4262 252.6960 0031149 349.5815 174.5722 13.68500781121544
515,1   515U 62068B   25108.50977379 -.00000031  00000-0  00000+0 0  9990,2   515  47.4977 182.2244 2835750 123.0852 267.4442  7.79262940774996
538,1   538U 61015FX  25108.99786112  .00007675  00000-0  15942-2 0  9996,2   538  67.8074 359.1996 0007555 318.9606  41.0947 14.60519564302255
541,1   541U 61015GA  25108.00718848  .00000424  00000-0  41977-3 0  9996,2   541  67.2199 336.2310 0080923 246.0543 113.2047 13.86104094213774
544,1   544U 61015GD  25108.41481106  .00000334  00000-0  51621-3 0  9995,2   544  66.8716 115.1951 0185968 191.7387 289.5299 13.55927434144540
552,1   552U 61015GM  25108.85629102  .00002443  00000-0  16852-2 0  9991,2   552  67.7386 341.4000 0103451  11.0461 349.2865 13.98163600197753
559,1   559U 61015GR  25108.20455753  .00011358  00000-0  20876-2 0  9992,2   559  66.6026  40.8400 0041496 114.4579 246.0873 14.65360620287817
560,1   560U 61015GS  25108.32523854  .00003462  00000-0  35710-2 0  9995,2   560  67.1591 142.5471 0312125 258.6358  97.9495 13.57727721 97176
